# S,I,R,Nw
2778977,8,0,0
2778976,8,1,1
2778974,8,2,3
2778972,9,4,5
2778970,9,5,7
2778968,10,7,9
2778966,10,9,11
2778963,10,11,13
2778961,11,12,16
2778959,11,14,18
2778956,12,16,21
2778953,13,19,23
2778951,13,21,26
2778948,14,23,29
2778945,14,25,32
2778942,15,28,35
2778938,16,31,39
2778935,16,33,42
2778931,17,36,46
2778927,18,39,49
2778923,19,42,53
2778919,19,46,58
2778915,20,49,62
2778911,21,53,66
2778906,22,56,71
2778901,23,60,76
2778896,24,64,81
2778891,25,68,86
2778885,26,73,92
2778879,28,77,98
2778873,29,82,104
2778867,30,87,110
2778860,32,92,116
2778854,33,98,123
2778846,34,104,130
2778839,36,110,138
2778831,38,116,146
2778823,39,122,154
2778815,41,129,162
2778806,43,136,171
2778796,45,143,180
2778787,47,151,190
2778777,49,159,200
2778766,51,168,211
2778755,53,176,222
2778744,55,185,233
2778732,58,195,245
2778719,60,205,258
2778706,63,215,271
2778693,66,226,284
2778678,69,237,299
2778663,72,249,313
2778648,75,262,329
2778632,78,274,345
2778615,82,288,362
2778597,85,302,380
2778579,89,316,398
