# S,I,R,Nw
585359,7,0,0
585357,8,1,1
585355,8,2,3
585353,8,4,5
585352,9,5,6
585350,9,7,8
585348,9,8,10
585346,10,10,12
585344,10,12,14
585342,10,13,16
585339,11,15,19
585337,11,17,21
585335,11,19,23
585332,12,21,26
585330,12,23,28
585327,13,25,31
585325,13,28,33
585322,14,30,36
585319,14,32,39
585316,15,35,42
585313,15,38,45
585310,16,40,48
585306,16,43,52
585303,17,46,55
585299,17,49,59
585296,18,52,62
585292,19,55,66
585288,19,58,70
585284,20,62,74
585280,21,65,78
585275,22,69,83
585271,22,72,87
585266,23,76,92
585261,24,80,97
585256,25,84,102
585251,26,89,107
585246,27,93,112
585240,27,98,118
585235,28,103,123
585229,29,107,129
585223,30,112,135
585216,32,118,142
585210,33,123,148
585203,34,129,155
585196,35,135,162
585189,36,141,169
585181,37,147,177
585173,39,153,185
585165,40,160,193
585157,42,167,201
585149,43,174,209
