# S,I,R,Nw
3484456,9,0,0
3484453,10,1,2
3484451,11,3,4
3484448,11,5,7
3484446,12,7,9
3484443,12,9,12
3484440,13,11,15
3484437,14,14,18
3484434,15,16,21
3484430,15,19,25
3484427,16,21,28
3484423,17,24,32
3484419,18,27,36
3484415,19,30,40
3484410,20,34,45
3484406,21,37,49
3484401,22,41,54
3484396,24,45,59
3484390,25,49,65
3484385,26,54,70
3484379,28,58,76
3484372,29,63,83
3484366,31,68,89
3484359,33,73,96
3484351,34,79,104
3484343,36,85,112
3484335,38,91,120
3484326,40,98,129
3484317,42,105,138
3484308,45,112,147
3484298,47,120,157
3484287,50,128,168
3484276,52,137,179
3484264,55,146,191
3484251,58,155,204
3484238,61,165,217
3484225,64,176,230
3484210,68,187,245
3484195,71,198,260
3484178,75,211,277
3484161,79,224,294
3484144,84,237,311
3484125,88,252,330
3484105,93,267,350
3484084,98,283,371
3484062,103,300,393
3484039,109,317,416
3484014,114,336,441
3483988,120,356,467
3483961,127,376,494
3483933,134,398,522
