# S,I,R,Nw
510832,1,0,0
510832,1,0,0
510831,1,0,0
510831,2,0,1
510830,2,1,2
510829,2,1,2
510828,2,2,3
510828,3,2,4
510827,3,3,5
510825,4,3,6
510824,4,4,8
510823,5,5,9
510821,6,6,11
510819,7,7,13
510817,7,8,15
510814,9,10,17
510811,10,11,20
510808,11,13,23
510805,13,15,27
510801,14,18,31
510796,16,20,36
510791,19,23,41
510785,21,27,47
510778,24,30,53
510771,27,35,61
510762,31,40,70
510752,35,45,79
510741,40,51,90
510729,45,59,103
510715,51,67,117
510699,58,76,133
510681,66,86,151
510660,74,98,171
510637,84,111,194
510611,95,126,221
510581,108,143,250
510548,122,162,284
510510,139,184,322
510467,157,209,365
510418,178,237,414
510363,201,269,469
510300,228,304,531
510229,258,345,602
510149,292,391,682
510059,331,443,773
509956,375,502,875
