# S,I,R,Nw
1446038,3,0,0
1446037,4,0,1
1446035,4,1,2
1446034,5,2,3
1446032,6,3,5
1446030,6,4,7
1446028,7,5,9
1446026,8,6,11
1446023,9,8,14
1446020,11,10,17
1446017,12,12,21
1446013,14,14,25
1446008,16,17,29
1446003,18,19,34
1445998,20,23,39
1445992,23,26,46
1445984,26,30,53
1445976,29,35,61
1445967,33,40,70
1445957,37,46,80
1445946,42,53,91
1445933,47,60,104
1445918,53,69,119
1445902,60,78,136
1445883,68,89,154
1445862,77,101,175
1445838,87,115,199
1445812,98,131,226
1445782,111,148,256
1445748,125,168,290
1445709,141,190,328
1445666,159,215,371
1445617,180,244,420
1445562,203,276,475
1445500,229,312,537
1445430,259,352,607
1445351,292,398,687
1445262,329,450,776
1445161,371,508,876
1445047,419,574,990
1444919,473,648,1118
1444775,533,732,1262
1444612,601,827,1425
1444429,678,933,1608
1444222,765,1054,1816
1443988,863,1189,2049
1443725,973,1342,2312
1443428,1098,1515,2609
1443094,1238,1709,2944
1442716,1396,1928,3321
1442291,1574,2176,3746
1441812,1774,2454,4225
1441272,2000,2769,4765
