# S,I,R,Nw
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192570,0,0,0
192569,0,0,0
192569,0,0,1
192569,0,0,1
192569,0,0,1
192568,1,1,2
192568,1,1,2
192567,1,1,2
192567,1,1,3
192566,2,2,4
192566,2,2,4
192565,2,2,5
192564,3,3,6
192562,4,4,7
192561,4,4,9
192559,5,5,11
192557,6,6,12
192555,7,7,15
192552,8,9,17
192549,10,10,21
192546,12,12,24
192541,14,14,29
192536,16,17,34
192530,19,20,40
192523,23,24,47
192515,27,28,55
192505,31,33,65
192494,37,38,76
192481,43,45,89
192465,51,53,105
192447,60,62,123
192426,70,73,144
192401,82,86,169
192372,97,101,198
192337,114,119,233
192297,133,139,273
192250,156,163,320
