# S,I,R,Nw
196258,0,0,0
196258,0,0,0
196257,0,0,0
196257,0,0,0
196257,1,0,0
196257,1,0,1
196256,1,0,1
196256,1,1,1
196255,1,1,2
196255,1,1,2
196254,2,2,3
196254,2,2,4
196253,2,2,4
196252,2,3,5
196251,3,3,6
196250,3,4,7
196249,4,5,8
196248,4,5,9
196247,5,6,10
196245,5,7,12
196244,6,8,14
196242,7,9,16
196240,8,10,18
196237,8,12,20
196235,10,13,23
196232,11,15,26
196228,12,17,29
196225,14,19,33
196220,15,22,37
196216,17,25,42
196210,19,28,47
196205,22,31,53
196198,24,35,59
196191,27,40,67
196182,31,44,75
196173,34,50,84
196163,38,56,94
196151,43,63,106
196139,48,71,119
196124,54,79,133
196108,61,89,149
196090,68,100,167
196070,76,112,188
