# S,I,R,Nw
294443,3,0,0
294442,3,0,0
294441,4,1,1
294440,4,2,2
294439,4,2,3
294438,4,3,4
294437,5,4,5
294436,5,5,7
294434,5,6,8
294433,6,7,9
294432,6,8,11
294430,6,9,12
294429,7,10,14
294427,7,11,15
294425,8,13,17
294423,8,14,19
294421,9,16,21
294419,9,17,23
294417,10,19,25
294415,10,21,27
294412,11,22,30
294410,11,24,33
294407,12,26,35
294404,13,29,38
294401,14,31,41
294398,14,33,44
294394,15,36,48
294391,16,38,51
294387,17,41,55
294383,18,44,59
294379,19,48,63
294374,20,51,68
294370,21,54,72
294365,23,58,77
294360,24,62,83
294354,25,66,88
294348,27,71,94
294342,28,75,100
294335,30,80,107
