# S,I,R,Nw
801715,2,0,0
801715,2,0,0
801714,2,0,1
801713,2,1,1
801713,3,1,2
801712,3,2,3
801711,3,2,4
801710,4,3,5
801708,4,4,7
801707,5,5,8
801706,5,6,9
801704,6,7,11
801702,7,8,13
801700,8,9,15
801698,8,10,17
801695,9,12,20
801692,11,14,23
801689,12,16,26
801685,13,18,30
801681,15,20,34
801677,16,23,38
801672,18,26,43
801667,20,29,48
801661,23,33,54
801654,25,37,61
801646,28,42,69
801638,32,47,77
801629,35,52,86
801619,39,59,96
801607,44,66,108
801595,48,73,120
801581,54,82,134
801565,60,92,150
801547,67,102,168
801528,74,114,187
801507,83,127,208
801483,92,142,232
801456,102,158,259
801426,114,176,288
801394,127,196,321
801357,141,219,358
801317,157,243,398
801271,174,271,444
801221,193,302,494
801165,215,336,549
801104,239,374,611
801035,266,416,680
800958,296,463,757
800873,329,515,842
800779,365,573,936
800674,406,637,1041
800557,451,708,1158
800427,502,788,1288
