# S,I,R,Nw
135911,3,0,0
135910,3,0,0
135909,4,1,1
135908,4,1,3
135907,4,2,4
135906,5,3,5
135904,5,4,6
135903,6,5,8
135901,6,6,10
135899,7,7,12
135897,8,9,14
135895,9,10,16
135892,9,12,18
135890,10,13,21
135887,11,15,24
135884,12,17,27
135880,14,20,30
135877,15,22,34
135872,16,25,38
135868,18,28,42
135863,19,31,47
135858,21,34,53
135852,23,38,58
135846,25,42,65
135839,28,47,72
135831,30,52,79
135823,33,57,87
135814,36,63,96
135805,40,69,106
135794,43,76,116
135782,47,84,128
135770,52,92,141
135756,56,101,155
