# S,I,R,Nw
4018124,2,0,0
4018124,2,0,0
4018123,2,0,1
4018122,2,1,2
4018121,3,1,3
4018120,3,2,4
4018119,4,3,5
4018118,4,3,6
4018116,5,4,7
4018115,6,5,9
4018113,6,6,11
4018111,7,7,13
4018109,8,9,15
4018106,9,10,18
4018103,10,12,21
4018100,12,14,24
4018096,13,16,28
4018092,15,19,32
4018087,17,21,37
4018082,19,24,42
4018076,22,28,48
4018069,25,32,55
4018061,28,36,62
4018053,31,41,71
4018043,35,47,81
4018032,40,53,91
4018020,45,60,104
4018007,51,68,117
4017991,57,77,133
4017974,64,88,150
4017954,72,99,170
4017932,81,112,192
4017907,92,126,217
4017879,103,143,245
4017848,116,161,276
4017813,131,182,311
4017773,148,205,351
4017728,166,231,396
4017678,187,261,446
4017621,211,294,503
4017557,237,331,567
4017485,267,373,639
4017404,301,421,720
4017313,338,474,811
4017210,381,534,913
4017095,429,602,1029
4016965,483,678,1159
4016819,543,763,1305
4016655,612,859,1469
4016470,688,968,1654
4016261,775,1089,1863
4016027,872,1227,2097
4015763,981,1381,2361
