# S,I,R,Nw
202631,4,0,0
202630,4,0,1
202629,4,1,2
202628,5,2,3
202627,5,3,4
202625,5,4,5
202624,6,5,7
202623,6,6,8
202621,7,7,10
202619,7,8,11
202618,8,9,13
202616,8,11,15
202614,9,12,17
202612,9,14,19
202609,10,15,21
202607,10,17,24
202604,11,19,27
202601,12,21,29
202599,13,23,32
202595,14,26,35
202592,14,28,39
202589,15,31,42
202585,16,33,46
202581,18,36,50
202576,19,39,54
202572,20,43,59
202567,21,46,64
202562,23,50,69
202556,24,54,74
202551,26,58,80
202544,28,63,86
202538,29,68,93
202531,31,73,100
202523,33,78,108
202515,36,84,116
202507,38,90,124
202497,40,97,133
