# S,I,R,Nw
155224,3,0,0
155224,3,0,0
155223,3,1,1
155222,4,1,2
155221,4,2,3
155219,4,3,5
155218,5,4,6
155216,5,5,8
155215,6,6,9
155213,7,7,11
155211,8,8,13
155209,8,9,15
155206,9,11,18
155203,10,13,21
155200,11,15,24
155197,13,17,27
155193,14,19,31
155189,16,22,35
155185,17,24,39
155180,19,27,44
155175,21,31,49
155169,23,35,55
155162,26,39,62
155155,28,43,69
155147,31,48,77
155138,35,54,86
155128,38,60,96
155117,42,67,107
155105,47,75,119
155092,52,83,132
155078,57,92,146
155062,63,102,162
155044,69,113,180
155025,77,125,199
155003,85,139,221
154980,93,154,244
154953,103,170,271
154925,114,188,299
154893,125,208,331
154858,138,230,366
154820,152,255,404
154777,168,281,447
154730,185,311,494
154679,204,343,545
