# S,I,R,Nw
691123,1,0,0
691123,1,0,0
691123,1,0,0
691122,1,0,1
691122,1,0,1
691121,1,1,2
691121,2,1,2
691120,2,1,3
691119,2,2,4
691119,3,2,4
691118,3,3,5
691117,3,3,6
691115,4,4,8
691114,5,5,9
691112,5,6,11
691111,6,7,12
691109,7,8,14
691106,8,9,17
691104,9,11,19
691101,10,12,22
691098,12,14,25
691094,13,17,29
691090,15,19,33
691085,17,22,38
691080,19,25,43
691073,22,28,50
691067,25,32,56
691059,28,37,64
691050,32,42,73
691040,36,47,83
691029,41,54,94
691016,46,61,107
691001,52,70,122
690985,59,79,138
690967,67,90,156
690946,76,102,177
690922,86,115,201
690895,98,131,228
690865,111,148,258
690831,125,168,292
690792,142,190,331
690748,160,215,375
690698,181,244,425
690642,205,276,481
690579,232,313,544
690507,263,354,616
690426,297,400,697
690334,336,453,789
690230,380,513,893
690113,430,581,1010
689980,487,657,1143
689830,550,743,1293
689660,622,841,1463
689468,704,952,1655
