# S,I,R,Nw
390141,2,0,0
390140,2,0,0
390139,3,0,1
390138,3,1,2
390137,4,2,3
390136,4,2,4
390135,5,3,6
390133,5,4,7
390131,6,5,9
390129,7,6,11
390127,8,8,13
390125,9,9,16
390122,10,11,18
390119,11,12,22
390115,13,15,25
390111,14,17,29
390107,16,19,33
390102,18,22,38
390097,20,26,44
390090,23,29,50
390083,26,33,57
390075,29,38,65
390067,33,43,74
390057,37,49,84
390045,41,56,95
390033,47,63,108
390019,52,71,122
390003,59,81,138
389985,66,91,155
389965,74,103,175
389943,84,116,198
389917,94,131,223
389889,106,148,251
389857,119,167,283
389822,133,188,319
389781,150,211,359
389736,168,238,404
389686,189,268,455
389629,212,301,512
389565,239,339,575
389493,268,381,647
389413,301,429,727
389323,338,482,818
389221,380,542,919
389108,426,609,1033
388980,478,684,1161
388837,537,769,1304
388676,603,864,1464
388496,677,970,1645
