# S,I,R,Nw
325580,9,0,0
325577,11,1,2
325573,12,3,6
325570,13,5,9
325566,15,8,13
325562,16,10,17
325557,18,13,22
325552,20,17,27
325546,22,20,33
325539,25,24,40
325532,28,29,47
325524,31,34,55
325515,34,39,64
325505,38,45,74
325494,42,52,85
325482,47,59,97
325469,52,68,110
325454,58,77,125
325438,64,87,141
325419,71,98,160
325399,79,111,180
325376,87,125,203
325352,97,140,227
325324,107,157,255
325293,119,176,286
325259,132,197,320
325222,146,220,357
325180,162,246,399
325133,180,275,446
325082,200,307,497
325025,221,342,554
324962,246,381,617
324892,272,424,687
324815,302,472,764
324729,334,525,850
324634,371,584,945
324529,411,649,1050
