# S,I,R,Nw
111193,3,0,0
111192,3,0,0
111191,4,1,1
111190,4,2,3
111189,5,2,4
111187,5,3,5
111186,5,4,6
111184,6,5,8
111183,6,6,10
111181,7,8,11
111179,8,9,13
111177,8,10,15
111175,9,12,18
111172,10,13,20
111169,11,15,23
111166,12,17,26
111163,13,19,29
111160,14,22,32
111156,15,24,36
111152,16,27,40
111148,18,30,45
111143,19,33,49
111138,21,36,54
111132,23,40,60
111126,25,44,66
111120,27,49,72
111113,29,53,80
111105,32,59,87
111097,34,64,95
111088,37,70,104
111078,41,77,114
111068,44,84,125
111056,48,92,136
111044,52,100,149
111030,56,109,162
111016,61,119,177
111000,66,130,193
110983,72,141,210
110964,78,154,228
110944,84,167,248
110922,91,182,270
110899,99,198,294
110873,107,215,319
