# S,I,R,Nw
136703,2,0,0
136702,2,0,0
136702,3,0,1
136701,3,1,2
136700,3,2,3
136699,4,2,4
136697,4,3,5
136696,5,4,7
136694,6,5,8
136692,6,6,10
136690,7,7,12
136688,8,8,15
136685,9,10,17
136683,10,12,20
136679,12,14,23
136676,13,16,27
136672,15,18,31
136667,17,21,36
136662,19,24,41
136656,21,27,46
136650,24,31,53
136642,27,35,60
136634,30,40,68
136625,34,46,77
136615,38,52,88
136603,43,58,99
136590,48,66,112
136576,54,75,127
136559,61,84,143
136541,68,95,161
136521,77,107,182
136498,86,121,205
136472,97,136,231
