# S,I,R,Nw
847428,1,0,0
847427,2,0,0
847427,2,0,1
847426,2,1,1
847425,2,1,2
847424,3,1,3
847424,3,2,4
847423,3,3,5
847422,4,3,6
847420,4,4,7
847419,5,5,8
847418,5,6,9
847416,6,7,11
847414,6,8,13
847413,7,9,15
847410,8,10,17
847408,9,12,19
847406,10,13,22
847403,11,15,24
847400,12,17,28
847396,13,19,31
847392,15,22,35
847388,16,24,39
847383,18,27,44
847378,20,30,49
847372,22,34,55
847366,24,38,61
847359,27,42,68
847351,30,47,76
847343,33,53,84
847333,37,58,94
847323,41,65,104
847311,45,72,116
847299,50,80,129
847284,55,89,143
847269,61,99,158
847252,67,110,176
847233,75,121,195
847211,82,135,216
847188,91,149,239
847162,101,165,265
847134,111,183,293
847103,123,203,324
847068,136,224,359
847030,151,248,398
846987,166,275,440
846940,184,304,487
846889,203,336,538
846832,225,372,596
846768,249,412,659
846699,275,455,729
846622,304,503,806
