# S,I,R,Nw
3273225,1,0,0
3273224,1,0,0
3273224,1,0,1
3273223,2,0,1
3273223,2,1,2
3273222,2,1,3
3273221,3,2,3
3273220,3,2,4
3273219,4,3,5
3273218,4,4,7
3273216,5,4,8
3273215,5,5,10
3273213,6,6,11
3273211,7,8,13
3273209,8,9,15
3273207,9,10,18
3273204,10,12,21
3273201,11,14,24
3273197,12,16,27
3273193,14,18,31
3273189,16,21,35
3273184,18,24,40
3273179,20,27,46
3273172,23,30,52
3273165,26,35,59
3273157,29,39,67
3273149,33,44,76
3273139,37,50,86
3273127,41,57,97
3273115,46,64,110
3273101,52,73,124
3273085,59,82,140
3273067,66,92,158
3273047,74,104,178
3273024,84,117,200
3272999,94,132,226
3272970,106,149,254
3272938,119,168,286
3272902,134,189,322
3272862,151,213,363
3272816,169,240,408
3272765,191,270,459
3272708,214,304,517
3272643,241,341,581
3272570,271,384,654
3272489,304,432,736
3272397,342,486,827
3272294,385,547,930
3272178,432,615,1046
3272048,486,691,1176
3271902,546,777,1323
3271737,614,874,1487
