# S,I,R,Nw
316216,9,0,0
316214,10,1,1
316212,10,3,3
316210,10,5,5
316208,10,6,7
316206,10,8,9
316204,10,10,11
316202,11,12,13
316200,11,14,15
316198,11,15,17
316196,11,17,19
316194,11,19,21
316192,11,21,23
316190,11,23,25
316188,12,25,27
316185,12,27,30
316183,12,29,32
316181,12,31,34
316179,12,34,36
316176,13,36,39
316174,13,38,41
316172,13,40,43
316169,13,42,46
316167,13,45,48
316164,13,47,51
316162,14,49,53
316159,14,52,56
316156,14,54,59
316154,14,57,61
316151,14,59,64
316148,15,61,67
316146,15,64,69
316143,15,67,72
316140,15,69,75
316137,16,72,78
316134,16,75,81
316131,16,77,84
316128,16,80,87
316125,16,83,90
316122,17,86,93
316119,17,89,96
316116,17,91,99
316113,17,94,102
316109,18,97,106
316106,18,100,109
316103,18,104,112
316099,18,107,116
316096,19,110,119
