# S,I,R,Nw
553385,7,0,0
553384,7,1,1
553382,7,2,2
553381,8,3,4
553379,8,5,6
553377,8,6,7
553376,8,8,9
553374,8,9,11
553372,9,11,12
553370,9,12,14
553369,9,14,16
553367,9,15,18
553365,10,17,20
553363,10,19,22
553361,10,21,24
553359,10,22,26
553357,11,24,28
553354,11,26,30
553352,11,28,32
553350,12,30,35
553347,12,32,37
553345,12,34,39
553343,13,36,42
553340,13,39,45
553337,13,41,47
553335,14,43,50
553332,14,46,53
553329,14,48,55
553326,15,51,58
553323,15,53,61
553320,16,56,64
553317,16,58,67
553314,16,61,71
553311,17,64,74
553307,17,67,77
553304,18,70,81
553300,18,73,84
553297,19,76,88
553293,19,79,92
553289,20,83,96
553285,20,86,99
553281,21,90,103
553277,21,93,108
553273,22,97,112
553268,22,101,116
553264,23,105,121
553259,24,109,125
553255,24,113,130
553250,25,117,135
553245,26,121,140
553240,26,126,145
553235,27,130,150
553229,28,135,155
553224,28,139,161
