# S,I,R,Nw
494137,3,0,0
494136,3,0,0
494135,4,1,1
494134,4,2,3
494133,4,2,4
494131,5,3,5
494130,5,4,6
494129,6,5,8
494127,6,6,9
494125,7,7,11
494123,7,9,13
494121,8,10,15
494119,9,12,17
494117,10,13,20
494114,10,15,22
494112,11,17,25
494109,12,19,28
494105,13,21,31
494102,14,23,35
494098,16,26,38
494094,17,29,42
494090,18,32,47
494085,20,35,52
494080,21,38,57
494074,23,42,62
494068,25,46,68
494061,27,51,75
494054,29,56,82
494047,32,61,90
494039,35,66,98
494030,37,73,107
494020,40,79,116
494010,44,86,127
493998,47,94,138
493986,51,102,150
493973,55,111,163
493959,60,121,178
493943,65,131,193
493927,70,143,210
493909,76,155,228
493889,82,168,247
493868,89,182,268
493845,96,198,291
493821,104,215,316
493794,112,233,342
