# S,I,R,Nw
886911,5,0,0
886910,5,0,1
886908,6,1,2
886907,6,3,4
886905,7,4,6
886903,8,5,8
886901,8,6,10
886898,9,8,13
886896,10,10,15
886893,11,12,18
886890,12,14,21
886886,13,16,25
886882,15,18,28
886878,16,21,32
886874,18,24,37
886869,19,27,42
886864,21,31,47
886858,23,34,53
886852,25,38,59
886845,28,43,66
886837,31,48,74
886829,33,53,82
886820,37,59,91
886810,40,66,101
886799,44,73,112
886787,48,80,123
886774,52,89,136
886760,57,98,150
886745,62,108,166
886728,68,119,183
886710,75,131,201
886690,82,144,221
886668,89,158,243
886644,97,174,267
886618,106,191,293
886589,116,210,321
886558,127,230,353
886524,139,252,387
886487,152,277,424
886446,166,303,464
886402,181,332,509
886353,198,364,557
886300,216,399,610
886243,237,436,668
886179,258,478,731
886110,282,523,800
886035,308,572,876
