# S,I,R,Nw
230784,1,0,0
230783,1,0,0
230783,1,0,0
230782,2,0,1
230782,2,1,2
230781,2,1,2
230780,2,2,3
230779,3,2,4
230778,3,3,5
230777,4,3,6
230776,4,4,7
230775,5,5,9
230773,5,6,10
230772,6,7,12
230770,7,8,13
230768,7,9,15
230766,8,11,18
230763,9,12,20
230760,10,14,23
230757,11,16,26
230754,13,18,30
230750,14,20,33
230746,16,23,38
230741,18,26,42
230736,20,29,48
230730,22,33,54
230723,25,37,60
230716,28,41,68
230708,31,46,76
230699,34,51,85
230689,38,58,95
230678,43,64,106
230665,47,72,118
230651,53,80,132
230636,59,90,147
230619,65,100,164
230600,73,112,183
230579,81,125,205
230555,90,139,228
230529,100,155,254
230500,112,173,283
230468,124,192,316
230432,138,214,352
230392,154,239,392
