# S,I,R,Nw
236314,4,0,0
236313,5,0,1
236311,5,1,2
236310,5,2,3
236309,6,3,4
236307,6,4,6
236306,6,5,7
236304,7,6,9
236303,7,8,11
236301,8,9,12
236299,8,10,14
236297,9,12,16
236295,9,13,18
236292,10,15,21
236290,11,17,23
236287,11,19,26
236285,12,21,29
236282,13,23,31
236279,14,25,34
236275,14,28,38
236272,15,30,41
236268,16,33,45
236264,17,36,49
236260,18,39,53
236256,20,42,57
236251,21,46,62
236246,22,49,67
236241,23,53,72
236235,25,57,78
236229,26,62,84
236223,28,66,90
236217,30,71,97
236209,32,76,104
236202,34,82,111
236194,36,88,119
236185,38,94,128
236176,40,101,137
236167,43,108,146
