# S,I,R,Nw
171013,6,0,0
171011,7,1,1
171009,7,2,3
171007,8,3,5
171005,9,5,7
171003,9,6,9
171001,10,8,12
170998,11,10,14
170995,12,12,17
170992,12,14,20
170989,13,16,23
170986,14,18,27
170982,16,21,30
170978,17,24,34
170974,18,27,39
170969,20,30,43
170964,21,34,48
170959,23,37,54
170953,24,41,59
170947,26,46,65
170940,28,50,72
170933,30,55,79
170925,33,60,87
170917,35,66,95
170908,38,72,104
170899,41,79,113
170889,44,86,123
170878,47,94,134
170866,51,102,146
170853,54,111,159
170840,58,120,172
170825,63,130,187
170810,68,141,203
170793,73,153,219
170775,78,166,238
170755,84,179,257
170734,90,194,278
170712,97,210,300
