# S,I,R,Nw
497875,7,0,0
497874,7,1,1
497872,7,2,3
497870,8,3,4
497869,8,5,6
497867,9,6,8
497865,9,8,10
497862,10,9,12
497860,10,11,15
497858,11,13,17
497855,11,15,20
497853,12,17,22
497850,12,19,25
497847,13,21,28
497844,14,24,31
497841,15,26,34
497837,15,29,37
497834,16,31,41
497830,17,34,45
497826,18,37,49
497822,19,40,53
497818,20,44,57
497813,21,47,62
497809,22,51,66
497804,23,55,71
497798,24,59,77
497793,26,63,82
497787,27,68,88
497781,29,72,94
497774,30,77,101
497768,32,82,107
497760,33,88,114
497753,35,94,122
497745,37,100,130
497737,39,106,138
497728,41,113,147
497719,43,120,156
497709,45,127,166
497699,47,135,176
497688,50,143,186
497677,52,152,198
497665,55,161,209
497653,58,170,222
497640,61,180,235
497626,64,191,249
497612,68,202,263
497597,71,214,278
497581,75,226,294
497564,79,239,311
497547,83,252,328
497528,87,266,347
497509,91,281,366
497488,96,297,387
497467,101,314,408
497444,106,331,431
497421,112,349,454
497396,117,368,479
497369,124,388,505
497342,130,410,533
