# S,I,R,Nw
797425,9,0,0
797422,10,1,2
797419,11,3,5
797416,12,5,8
797413,13,7,11
797409,14,10,15
797406,16,12,18
797402,17,15,22
797397,18,18,27
797392,20,21,32
797387,21,25,37
797382,23,29,42
797376,25,33,48
797369,27,37,55
797362,29,42,62
797354,32,47,70
797346,35,53,78
797337,37,59,87
797328,41,65,96
797317,44,73,107
797306,47,80,118
797294,51,89,130
797280,56,98,144
797266,60,107,158
797251,65,118,173
797234,71,129,190
797216,76,142,208
797196,83,155,228
797175,89,169,249
797152,97,185,272
797127,105,202,297
797101,113,220,323
797072,122,240,352
797040,132,261,384
797006,143,284,418
796970,155,309,454
796930,168,336,494
796887,181,365,537
796841,196,396,583
796791,212,430,633
796737,229,467,687
796678,248,507,746
796615,268,550,809
