# S,I,R,Nw
298154,3,0,0
298153,3,0,0
298153,3,1,1
298152,3,1,2
298151,4,2,3
298150,4,3,4
298149,4,3,5
298148,4,4,6
298147,5,5,7
298146,5,6,8
298144,5,7,9
298143,5,8,10
298142,6,9,12
298140,6,10,13
298139,7,11,15
298137,7,12,16
298136,7,14,18
298134,8,15,20
298132,8,16,22
298130,9,18,23
298128,9,19,26
298126,10,21,28
298124,10,23,30
298121,11,25,32
298119,11,26,35
298116,12,28,37
298113,13,31,40
298110,13,33,43
298107,14,35,46
298104,15,38,49
298101,16,40,53
298097,16,43,56
298093,17,46,60
298089,18,49,64
298085,19,52,68
298081,20,55,73
298076,21,59,78
298071,23,63,82
298066,24,67,88
298060,25,71,93
298055,26,75,99
298049,28,80,105
298042,29,85,111
298036,31,90,118
298029,33,95,125
298021,34,101,132
298013,36,107,140
298005,38,113,149
297996,40,120,157
297987,42,127,166
