# S,I,R,Nw
1044053,4,0,0
1044052,4,0,1
1044051,5,1,2
1044050,5,2,3
1044048,5,3,4
1044047,6,4,6
1044045,6,5,7
1044043,7,6,9
1044042,7,7,11
1044040,8,9,13
1044037,9,10,15
1044035,9,12,18
1044033,10,14,20
1044030,11,16,23
1044027,12,18,26
1044024,13,20,29
1044020,14,22,32
1044017,15,25,36
1044013,16,27,40
1044008,18,30,44
1044004,19,33,49
1043999,21,37,54
1043994,22,40,59
1043988,24,44,65
1043982,26,49,71
1043975,28,53,78
1043967,31,58,85
1043960,33,64,93
1043951,36,70,101
1043942,39,76,111
1043932,42,83,120
1043922,45,90,131
1043910,49,98,142
1043898,52,106,155
1043884,57,115,168
1043870,61,125,183
1043855,66,136,198
1043838,71,147,215
1043820,77,160,233
1043800,83,173,252
1043779,89,188,273
1043757,96,203,296
1043732,104,220,320
1043706,112,238,347
1043678,121,258,375
1043647,131,279,406
1043614,141,302,439
1043578,152,326,475
