# S,I,R,Nw
460534,6,0,0
460532,7,1,1
460531,7,2,3
460529,8,3,5
460527,8,5,7
460525,9,6,9
460522,10,8,11
460520,10,9,14
460517,11,11,16
460514,12,13,19
460511,13,15,22
460508,14,18,25
460505,15,20,29
460501,16,23,32
460497,17,26,36
460493,18,29,41
460488,20,32,45
460483,21,35,50
460478,23,39,56
460472,24,43,61
460466,26,47,67
460460,28,52,74
460453,30,57,81
460445,32,62,88
460437,35,68,96
460429,37,74,105
460419,40,80,114
460409,43,87,124
460399,46,95,135
460387,49,103,146
460375,53,111,158
460362,57,121,171
460348,61,130,185
460333,65,141,200
460317,70,152,216
460300,75,165,234
460281,81,178,252
460262,86,192,272
460240,93,207,293
460217,99,223,316
460193,107,240,340
