# S,I,R,Nw
263649,9,0,0
263646,10,1,2
263644,11,3,4
263641,11,5,7
263639,12,7,9
263636,13,9,12
263633,13,11,15
263630,14,14,18
263627,15,16,21
263623,16,19,25
263620,16,21,28
263616,17,24,32
263612,18,27,36
263607,19,31,41
263603,20,34,45
263598,22,38,50
263593,23,41,55
263588,24,45,60
263582,25,50,66
263577,27,54,71
263570,28,59,78
263564,30,64,84
263557,32,69,91
263550,33,74,98
263542,35,80,106
263534,37,86,114
263526,39,93,122
263517,41,99,131
263507,43,107,141
263498,46,114,150
263487,48,122,161
263476,51,130,172
263465,54,139,183
263452,57,148,196
263439,60,158,209
263426,63,169,222
263411,67,179,237
263396,70,191,252
263380,74,203,268
263364,78,216,284
263346,82,229,302
263327,87,243,321
263308,91,258,340
263287,96,274,361
263265,102,291,383
263242,107,308,406
263218,113,327,430
