# S,I,R,Nw
291927,9,0,0
291924,10,1,2
291922,10,3,4
291920,10,5,6
291918,11,7,8
291916,11,9,10
291913,12,11,13
291911,12,13,15
291908,12,15,18
291906,13,17,20
291903,13,19,23
291900,14,21,26
291898,14,24,28
291895,15,26,31
291892,15,29,34
291888,16,31,38
291885,16,34,41
291882,17,37,44
291878,17,40,48
291875,18,43,51
291871,18,46,55
291868,19,49,58
291864,19,52,62
291860,20,56,66
291855,21,59,71
291851,21,63,75
291847,22,67,79
291842,23,70,84
291837,24,74,89
291833,24,79,93
291828,25,83,98
291822,26,87,104
291817,27,92,109
291812,28,96,114
291806,29,101,120
291800,30,106,126
291794,31,111,132
291788,32,116,138
291781,33,122,145
291775,34,127,151
291768,35,133,158
291761,36,139,165
291753,37,145,173
291746,38,152,180
291738,39,158,188
291730,41,165,196
291722,42,172,204
291713,43,179,213
291704,45,186,222
291695,46,194,231
