# S,I,R,Nw
248619,3,0,0
248618,3,0,0
248617,4,1,1
248616,4,1,2
248615,4,2,3
248614,4,3,4
248613,4,4,5
248612,5,5,6
248611,5,5,7
248610,5,6,9
248608,6,7,10
248607,6,8,11
248606,6,10,13
248604,7,11,14
248602,7,12,16
248601,8,13,18
248599,8,15,19
248597,8,16,21
248595,9,18,23
248593,9,19,26
248591,10,21,28
248588,11,23,30
248586,11,25,33
248583,12,27,35
248580,12,29,38
248577,13,31,41
248574,14,33,44
248571,15,36,47
248568,15,38,51
248564,16,41,54
248560,17,44,58
248556,18,47,62
248552,19,50,66
248548,20,54,71
248543,21,57,75
248538,23,61,80
248533,24,65,86
248527,25,69,91
248521,27,73,97
248515,28,78,103
248509,30,83,109
248502,31,88,116
248495,33,94,123
248487,35,99,131
248479,37,105,139
248471,39,112,147
248462,41,118,156
248453,43,126,166
248443,46,133,176
248432,48,141,186
248421,51,149,197
