# S,I,R,Nw
511217,1,0,0
511217,1,0,0
511217,1,0,0
511216,1,0,1
511216,1,0,1
511215,2,1,2
511215,2,1,2
511214,2,2,3
511213,2,2,4
511212,3,3,5
511211,3,3,6
511210,4,4,7
511209,4,5,8
511207,5,5,10
511205,6,6,11
511204,6,7,13
511201,7,9,15
511199,8,10,18
511196,9,12,21
511193,11,13,24
511190,12,15,27
511186,14,18,31
511181,16,20,35
511176,18,23,40
511171,20,26,46
511164,23,30,52
511157,26,34,60
511149,29,39,68
511140,33,44,77
511130,38,50,87
511118,43,57,99
511105,48,65,112
511090,55,73,127
511073,62,83,144
511054,70,94,163
511032,79,107,185
511008,89,121,209
510980,101,136,236
510949,114,154,267
510914,129,175,303
510875,145,197,342
510830,164,223,387
510780,185,252,437
510723,209,285,494
510658,236,323,558
510586,267,365,631
510504,302,412,713
510411,341,466,806
510307,385,526,910
510189,434,594,1028
