# S,I,R,Nw
1777223,1,0,0
1777223,1,0,0
1777222,1,0,0
1777222,1,0,1
1777221,2,1,1
1777221,2,1,2
1777220,2,1,3
1777219,3,2,4
1777218,3,2,5
1777217,3,3,6
1777216,4,4,7
1777215,5,4,8
1777213,5,5,10
1777211,6,6,12
1777209,7,8,14
1777207,8,9,16
1777204,9,10,18
1777201,10,12,21
1777198,11,14,25
1777194,13,16,28
1777190,15,18,32
1777185,17,21,37
1777180,19,24,43
1777174,22,28,49
1777167,25,32,56
1777159,28,36,64
1777150,32,41,72
1777140,36,47,83
1777129,41,54,94
1777116,47,61,107
1777101,53,69,122
1777085,60,79,138
1777066,68,90,157
1777044,77,102,178
1777020,88,116,202
1776993,99,131,230
1776962,113,149,261
1776927,128,169,296
1776887,144,192,336
1776842,164,218,381
1776791,186,247,431
1776734,210,280,489
1776668,238,317,554
1776594,270,359,628
1776510,306,407,712
1776416,346,462,807
1776308,392,523,915
1776186,444,593,1036
1776049,503,672,1174
1775892,570,761,1330
1775716,645,862,1507
