# S,I,R,Nw
326414,4,0,0
326412,5,0,1
326411,5,1,2
326409,6,2,4
326407,7,3,6
326406,7,5,7
326404,8,6,9
326401,9,8,12
326399,9,9,14
326396,10,11,17
326393,11,13,20
326390,12,15,23
326387,14,17,26
326383,15,19,30
326379,16,22,34
326375,18,25,38
326370,19,28,43
326365,21,32,48
326359,23,36,54
326353,25,40,61
326346,28,44,67
326338,30,49,75
326330,33,54,83
326321,36,60,92
326312,39,67,101
326301,43,74,112
326290,47,81,123
326277,51,89,136
326263,56,98,150
326248,61,108,165
326232,66,119,181
326215,72,130,198
326195,79,143,218
326174,86,157,239
326151,94,172,262
326126,103,189,287
326099,112,207,314
326069,122,226,344
326037,133,247,376
326002,145,271,411
325963,158,296,450
325921,173,324,492
325876,188,354,537
325826,205,387,587
325772,224,422,641
325712,244,461,701
325648,266,504,765
325578,290,550,835
325501,316,601,912
325418,344,656,995
