# S,I,R,Nw
605755,5,0,0
605754,5,0,1
605753,6,1,2
605751,6,2,4
605749,7,4,6
605747,8,5,8
605745,8,6,10
605743,9,8,12
605740,10,10,15
605737,11,11,18
605734,12,13,21
605731,13,16,24
605727,15,18,28
605723,16,21,32
605718,18,24,37
605713,19,27,41
605708,21,30,47
605702,23,34,53
605696,26,38,59
605689,28,43,66
605681,31,48,74
605673,34,53,82
605663,37,59,91
605653,41,66,102
605642,44,73,113
605630,49,81,125
605617,53,89,138
605602,58,99,152
605587,64,109,168
605569,70,120,186
605550,77,132,205
605529,84,146,225
605507,92,161,248
605482,101,177,273
605454,111,195,300
605425,121,214,330
605392,132,235,363
605356,145,258,399
605317,159,284,438
605274,174,312,481
605227,190,342,528
605176,208,375,579
605120,228,412,635
605058,250,452,697
604991,273,495,764
604917,299,543,838
604837,328,595,918
604748,359,653,1006
604652,392,715,1103
604546,429,784,1208
