# S,I,R,Nw
79170,1,0,0
79170,1,0,0
79170,1,0,0
79170,1,0,0
79169,1,0,1
79169,1,1,1
79169,1,1,1
79168,1,1,2
79168,1,1,2
79167,2,2,3
79167,2,2,3
79166,2,2,4
79165,2,3,5
79165,2,3,5
79164,3,4,6
79163,3,4,7
79162,3,5,8
79161,3,6,9
79160,4,6,10
79159,4,7,11
79158,5,8,12
79157,5,9,13
79155,5,10,15
79154,6,11,16
79152,6,12,18
79151,7,13,19
79149,8,14,21
79147,8,16,23
79144,9,17,26
79142,10,19,28
79139,11,21,31
79137,11,22,33
79133,12,25,37
79130,14,27,40
79127,15,29,43
79123,16,32,47
79118,17,35,52
79114,19,38,56
79109,20,41,61
79104,22,45,66
79098,24,49,72
79092,26,53,78
79085,28,58,85
79078,30,62,92
79070,33,68,100
79061,36,74,109
79052,39,80,118
79042,42,87,128
79031,46,94,139
79019,49,102,151
