# S,I,R,Nw
197796,1,0,0
197796,1,0,0
197795,1,0,0
197795,1,0,1
197794,1,1,1
197794,2,1,2
197793,2,1,2
197793,2,2,3
197792,3,2,4
197791,3,3,5
197790,3,3,6
197789,4,4,7
197788,4,5,8
197786,5,6,9
197785,5,6,11
197783,6,7,13
197781,7,9,14
197779,7,10,16
197777,8,11,19
197774,9,13,21
197772,10,14,24
197769,12,16,27
197765,13,18,31
197761,15,21,35
197757,16,24,39
197752,18,26,44
197746,20,30,49
197740,23,33,55
197734,25,37,62
197726,28,42,69
197718,31,47,78
197709,35,53,87
197699,39,59,97
197687,44,66,109
197674,48,74,121
197660,54,82,135
197644,60,92,151
197627,67,102,169
197607,75,114,188
197586,83,128,210
197561,93,142,234
197535,103,159,261
197505,115,177,291
197471,128,197,324
197434,142,220,362
