# S,I,R,Nw
131722,4,0,0
131721,4,0,0
131720,5,1,1
131719,5,2,3
131718,5,3,4
131716,5,4,5
131715,5,5,6
131714,6,6,7
131713,6,7,8
131712,6,8,10
131710,6,9,11
131709,6,10,12
131708,7,11,14
131706,7,13,15
131705,7,14,17
131703,7,15,18
131701,8,16,20
131700,8,18,21
131698,8,19,23
131696,9,21,25
131694,9,22,27
131693,9,24,29
131691,9,25,31
131689,10,27,33
131686,10,29,35
131684,10,31,37
131682,11,33,39
131680,11,34,41
131677,12,36,44
131675,12,39,46
131672,12,41,49
131670,13,43,51
131667,13,45,54
131664,14,47,57
131661,14,50,60
131658,15,52,63
131655,15,55,66
131652,16,58,69
131649,16,60,73
131645,17,63,76
131642,18,66,79
131638,18,69,83
131634,19,72,87
131630,19,76,91
131626,20,79,95
131622,21,83,99
131618,21,86,103
131613,22,90,108
131609,23,94,112
131604,24,98,117
131599,25,102,122
131594,25,106,127
131589,26,111,133
