# S,I,R,Nw
343707,7,0,0
343705,8,1,1
343703,8,2,3
343702,8,4,5
343700,9,5,7
343698,9,7,9
343696,10,8,11
343694,10,10,13
343691,10,12,15
343689,11,14,17
343687,11,16,20
343684,12,18,22
343681,12,20,25
343679,13,22,28
343676,14,24,30
343673,14,27,33
343670,15,29,37
343666,15,32,40
343663,16,34,43
343659,17,37,47
343656,18,40,50
343652,18,43,54
343648,19,46,58
343644,20,50,63
343639,21,53,67
343635,22,57,72
343630,23,61,76
343625,24,65,81
343620,25,69,86
343614,26,73,92
343609,27,78,97
343603,28,82,103
343597,29,87,109
343590,31,92,116
343584,32,98,123
343577,34,103,129
343569,35,109,137
343562,37,115,144
343554,38,121,152
343546,40,128,160
343537,42,135,169
343528,43,142,178
343519,45,149,187
343509,47,157,197
343499,49,165,207
343488,51,174,218
343477,54,183,229
343466,56,192,240
343454,58,201,252
