# S,I,R,Nw
32207,1,0,0
32206,2,0,0
32206,2,0,0
32205,2,1,1
32205,2,1,1
32204,2,1,2
32204,2,2,2
32203,2,2,3
32203,2,3,4
32202,2,3,4
32201,3,4,5
32201,3,4,5
32200,3,5,6
32199,3,5,7
32198,3,6,8
32198,3,7,8
32197,4,7,9
32196,4,8,10
32195,4,9,11
32194,4,9,12
32193,4,10,13
32192,5,11,14
32191,5,12,15
32190,5,13,16
32188,5,14,18
32187,6,15,19
32186,6,16,20
32184,6,17,22
32183,6,18,23
32181,7,19,25
32180,7,20,26
32178,8,22,28
32176,8,23,30
32175,8,25,31
32173,9,26,33
32171,9,28,35
32169,10,29,37
32167,10,31,39
32164,10,33,42
32162,11,35,44
32159,12,37,47
32157,12,39,49
32154,13,41,52
32151,13,43,55
32148,14,45,58
32145,15,48,61
32142,15,50,64
32138,16,53,68
32135,17,56,71
32131,18,59,75
32127,18,62,79
32123,19,65,83
32119,20,68,87
32115,21,72,92
32110,22,76,96
32105,23,79,101
