# S,I,R,Nw
209147,5,0,0
209145,6,1,1
209144,6,2,2
209143,6,3,3
209142,6,4,4
209140,6,5,6
209139,7,6,7
209138,7,7,8
209136,7,8,10
209135,7,10,11
209133,7,11,13
209132,8,12,14
209130,8,14,16
209128,8,15,18
209127,8,17,19
209125,9,18,21
209123,9,20,23
209121,9,21,25
209119,9,23,27
209118,10,24,29
209116,10,26,31
209113,10,28,33
209111,10,30,35
209109,11,31,37
209107,11,33,39
209105,11,35,41
209102,12,37,44
209100,12,39,46
209097,12,42,49
209095,13,44,51
209092,13,46,54
209090,14,48,56
209087,14,51,59
209084,14,53,62
209081,15,56,65
209078,15,58,68
209075,16,61,71
209072,16,64,74
209068,17,67,78
209065,17,69,81
209062,18,72,85
209058,18,75,88
209054,19,79,92
209051,19,82,96
209047,20,85,99
209043,20,89,103
209039,21,92,107
209034,21,96,112
209030,22,99,116
209026,23,103,120
209021,23,107,125
