# S,I,R,Nw
477788,9,0,0
477786,10,1,2
477784,10,3,4
477781,10,5,6
477779,11,7,8
477776,12,8,11
477774,12,11,13
477771,13,13,16
477768,13,15,19
477765,14,17,22
477762,15,20,25
477759,15,22,28
477756,16,25,32
477752,17,28,35
477748,17,31,39
477744,18,34,43
477740,19,37,47
477736,20,40,51
477732,21,44,56
477727,22,47,60
477722,23,51,65
477717,24,55,70
477712,25,60,76
477706,26,64,81
477700,28,68,87
477694,29,73,93
477688,30,78,99
477681,32,84,106
477674,33,89,113
477667,35,95,120
477659,36,101,128
477652,38,107,136
477643,40,114,144
477635,42,120,153
477625,43,128,162
477616,45,135,171
477606,48,143,181
477596,50,151,192
477585,52,160,203
477573,54,169,214
477562,57,178,226
477549,60,188,238
477536,62,198,251
477523,65,209,265
477508,68,220,279
477494,71,232,294
477478,75,244,309
477462,78,257,326
477445,82,270,343
477427,85,284,360
477409,89,299,379
477389,93,314,398
477369,98,330,418
477348,102,347,440
477326,107,364,462
477302,112,382,485
477278,117,402,509
477253,122,422,535
477226,128,442,561
