# S,I,R,Nw
208948,9,0,0
208946,9,1,1
208944,9,3,3
208943,9,4,4
208941,9,6,6
208939,9,8,8
208938,9,9,9
208936,9,11,11
208934,9,13,13
208933,9,14,14
208931,9,16,16
208930,9,18,18
208928,9,19,19
208926,9,21,21
208925,9,23,22
208923,9,24,24
208921,9,26,26
208920,9,27,27
208918,9,29,29
208916,9,31,31
208915,9,32,32
208913,9,34,34
208912,9,36,36
208910,9,37,37
208908,9,39,39
208907,9,41,40
208905,9,42,42
208903,9,44,44
208902,9,45,45
208900,9,47,47
208899,9,49,49
208897,9,50,50
208895,9,52,52
208894,9,54,53
208892,9,55,55
208890,9,57,57
208889,9,58,58
208887,9,60,60
208886,9,62,62
208884,9,63,63
208882,9,65,65
208881,9,67,66
208879,9,68,68
208877,9,70,70
208876,9,71,71
208874,9,73,73
208873,9,75,74
208871,9,76,76
208869,9,78,78
208868,9,79,79
