# S,I,R,Nw
569643,1,0,0
569642,1,0,0
569642,1,0,0
569641,2,0,1
569641,2,1,1
569640,2,1,2
569640,2,2,3
569639,2,2,3
569638,3,3,4
569638,3,3,5
569637,3,4,6
569636,3,4,6
569635,4,5,7
569634,4,6,8
569633,4,6,9
569632,5,7,11
569630,5,8,12
569629,5,9,13
569628,6,10,15
569626,6,11,16
569624,7,12,18
569622,7,14,20
569621,8,15,22
569618,9,16,24
569616,9,18,26
569614,10,20,29
569611,11,22,31
569608,12,24,34
569605,13,26,37
569602,14,28,40
569599,15,30,44
569595,16,33,47
569591,17,36,51
569587,18,39,56
569582,20,42,60
569577,21,45,65
569572,23,49,71
569566,25,53,76
569560,26,58,83
569553,28,62,89
569546,31,67,97
569538,33,73,104
569530,35,78,112
569521,38,85,121
569511,41,91,131
569501,44,98,141
569490,47,106,152
569478,51,114,164
569465,55,123,177
569452,59,133,191
569437,64,143,205
569421,68,154,221
569404,73,166,238
569386,79,179,257
569366,85,193,276
569345,91,207,298
569322,98,223,320
569298,106,240,345
