# S,I,R,Nw
641521,1,0,0
641521,1,0,0
641521,1,0,0
641520,1,0,1
641520,1,0,1
641519,1,1,1
641519,2,1,2
641518,2,1,2
641518,2,2,3
641517,2,2,4
641516,2,3,4
641516,3,3,5
641515,3,4,6
641514,3,4,7
641513,4,5,8
641512,4,6,9
641511,4,7,10
641509,5,7,11
641508,5,8,13
641507,6,9,14
641505,6,10,16
641503,7,12,18
641501,7,13,19
641499,8,14,22
641497,9,16,24
641494,10,17,26
641492,11,19,29
641489,12,21,32
641486,13,23,35
641482,14,25,38
641479,15,28,42
641475,16,31,46
641470,18,34,51
641465,19,37,55
641460,21,40,61
641455,23,44,66
641448,25,48,72
641442,27,52,79
641434,30,57,86
641426,32,63,94
641418,35,68,103
641409,38,75,112
641398,42,81,122
641387,46,89,133
641375,50,97,145
641362,54,105,158
641348,59,115,173
641333,64,125,188
641316,69,136,205
641298,75,148,223
641278,82,162,243
641256,89,176,265
641233,97,192,288
641207,106,209,313
641180,115,227,341
641149,125,247,371
641117,136,269,404
