# S,I,R,Nw
2298694,1,0,0
2298694,1,0,0
2298694,1,0,0
2298693,1,0,1
2298693,1,0,1
2298692,1,1,1
2298692,2,1,2
2298691,2,1,3
2298691,2,2,3
2298690,2,2,4
2298689,3,3,5
2298688,3,3,6
2298687,3,4,7
2298686,4,5,8
2298685,4,5,9
2298684,5,6,10
2298682,5,7,11
2298681,6,8,13
2298679,6,9,15
2298677,7,10,16
2298675,8,12,19
2298673,9,13,21
2298670,9,15,23
2298668,11,16,26
2298665,12,18,29
2298661,13,20,33
2298658,14,23,36
2298653,16,25,40
2298649,17,28,45
2298644,19,31,50
2298638,21,35,55
2298632,24,39,62
2298626,26,43,68
2298618,29,47,76
2298610,32,53,84
2298601,35,58,93
2298591,39,65,103
2298580,43,71,114
2298568,47,79,126
2298555,52,87,139
2298540,58,97,154
2298524,64,107,170
2298506,70,118,188
2298486,78,131,207
2298465,86,144,229
2298441,94,159,253
2298414,104,176,280
2298385,115,194,309
2298353,127,215,341
2298318,140,237,376
2298279,154,261,415
2298235,170,289,458
2298188,188,319,506
2298136,207,352,558
2298078,229,388,616
2298014,252,428,680
2297944,278,472,750
