# S,I,R,Nw
264932,2,0,0
264932,2,0,0
264931,2,0,1
264931,2,1,1
264930,2,1,2
264929,3,2,3
264928,3,2,4
264927,3,3,5
264926,4,4,6
264925,4,4,7
264924,5,5,8
264922,5,6,9
264921,6,7,11
264919,6,8,13
264918,7,9,14
264916,8,10,16
264913,8,12,19
264911,9,13,21
264908,10,15,24
264906,11,17,26
264902,12,19,30
264899,13,21,33
264895,15,24,37
264891,16,26,41
264887,18,29,45
264882,19,32,50
264876,21,36,56
264870,24,40,62
264864,26,44,68
264857,28,48,75
264849,31,53,83
264841,34,59,91
264831,37,65,101
264821,41,72,111
264810,45,79,122
264797,49,87,134
264784,54,95,148
264769,59,105,163
264753,65,115,179
264736,71,127,196
264716,78,139,216
264695,85,153,237
264672,94,168,260
264646,103,184,286
264619,112,202,313
264588,123,222,344
264555,135,244,377
264518,148,267,414
264478,162,293,454
264434,177,322,498
264386,194,353,546
264334,213,387,598
264276,233,424,655
