# S,I,R,Nw
369365,2,0,0
369364,3,0,0
369363,3,1,1
369362,3,1,2
369361,4,2,3
369360,4,3,4
369359,4,3,5
369358,5,4,7
369356,5,5,8
369355,6,6,9
369353,6,7,11
369351,7,8,13
369349,8,10,15
369347,8,11,17
369345,9,13,19
369342,10,14,22
369340,11,16,25
369337,12,18,28
369333,13,20,31
369330,14,23,34
369326,15,25,38
369322,17,28,42
369317,18,31,47
369312,20,34,52
369307,22,38,57
369301,24,42,63
369295,26,46,69
369288,28,50,76
369280,31,55,84
369272,34,61,92
369263,37,67,101
369253,40,73,111
369243,43,80,121
369231,47,88,133
369219,52,96,145
369205,56,105,159
369190,61,115,174
369174,67,126,190
369156,72,138,208
369137,79,150,227
