# S,I,R,Nw
97008,7,0,0
97007,7,1,1
97006,7,2,2
97004,7,3,4
97003,7,5,5
97001,8,6,7
97000,8,7,8
96998,8,9,10
96996,8,10,12
96995,8,11,13
96993,9,13,15
96991,9,15,17
96989,9,16,18
96988,9,18,20
96986,10,19,22
96984,10,21,24
96982,10,23,26
96980,10,25,28
96978,11,26,30
96975,11,28,32
96973,11,30,35
96971,11,32,37
96969,12,34,39
96966,12,36,41
96964,12,38,44
96962,13,40,46
96959,13,43,49
96956,13,45,51
96954,14,47,54
96951,14,50,57
96948,14,52,60
96945,15,54,62
96943,15,57,65
96940,15,60,68
96936,16,62,71
96933,16,65,75
96930,17,68,78
96927,17,71,81
96923,17,74,84
96920,18,77,88
96916,18,80,91
96913,19,83,95
96909,19,86,99
96905,20,89,103
96901,20,93,106
96897,21,96,110
