# S,I,R,Nw
1173365,4,0,0
1173364,4,0,1
1173363,5,1,2
1173361,5,2,3
1173360,6,3,5
1173358,6,4,6
1173357,7,5,8
1173355,7,6,10
1173353,8,8,12
1173351,8,9,14
1173349,9,11,16
1173346,10,12,18
1173344,11,14,21
1173341,12,16,24
1173338,13,18,27
1173334,14,21,30
1173331,15,23,34
1173327,16,26,37
1173323,17,28,41
1173319,18,31,46
1173314,20,35,51
1173309,22,38,56
1173303,23,42,61
1173297,25,46,67
1173291,27,51,74
1173284,29,55,81
1173276,32,61,88
1173268,34,66,96
1173260,37,72,105
1173250,40,79,114
1173240,43,85,124
1173229,46,93,135
1173218,50,101,147
1173205,54,110,160
1173191,58,119,173
1173177,63,129,188
1173161,68,140,204
1173144,73,152,221
1173125,79,165,239
1173105,85,178,259
1173084,91,193,281
1173061,99,209,304
1173036,106,226,329
1173009,115,245,356
1172980,124,265,385
1172949,133,286,416
1172915,144,309,449
1172879,155,334,486
1172840,167,361,525
1172798,180,390,567
1172752,195,422,612
1172703,210,456,661
1172650,226,492,714
