# S,I,R,Nw
394464,0,0,0
394464,0,0,0
394464,0,0,0
394463,0,0,0
394463,0,0,0
394463,0,0,0
394463,0,0,1
394463,1,0,1
394462,1,1,1
394462,1,1,2
394461,1,1,2
394461,1,1,2
394460,1,2,3
394460,2,2,4
394459,2,2,4
394459,2,3,5
394458,2,3,6
394457,3,4,6
394456,3,4,7
394455,4,5,8
394454,4,6,10
394453,5,6,11
394451,5,7,12
394449,6,8,14
394448,6,9,16
394446,7,11,18
394443,8,12,20
394441,9,13,23
394438,10,15,25
394435,11,17,28
394432,13,19,32
394428,14,22,36
394423,16,24,40
394419,18,27,45
394413,20,30,50
394407,22,34,56
394401,25,38,63
394393,28,42,70
394385,31,47,79
394376,35,53,88
394366,39,59,98
394354,43,66,109
394341,48,74,122
394327,54,82,136
394311,60,92,152
394294,67,103,170
394274,75,115,189
394252,83,128,211
394228,93,143,235
394201,104,159,263
394171,115,177,293
394137,129,198,326
394100,143,220,364
394058,160,246,406
394011,178,274,452
393960,199,305,504
393902,221,340,562
