# S,I,R,Nw
233692,3,0,0
233691,3,0,0
233690,4,1,1
233689,4,2,2
233688,4,2,3
233687,4,3,4
233686,5,4,5
233685,5,5,7
233683,5,6,8
233682,6,7,9
233681,6,8,11
233679,6,9,12
233677,7,10,14
233676,7,11,16
233674,8,13,17
233672,8,14,19
233670,9,16,21
233668,9,17,24
233665,10,19,26
233663,11,21,28
233660,11,23,31
233658,12,25,34
233655,13,27,37
233652,14,29,40
233648,14,32,43
233645,15,34,46
233641,16,37,50
233637,17,40,54
233633,18,43,58
233629,19,46,62
233624,21,49,67
233619,22,53,72
233614,23,57,77
233609,25,61,83
233603,26,65,88
233597,28,70,95
233590,30,75,101
233583,31,80,108
233576,33,85,116
233568,35,91,123
233560,37,97,132
233551,40,104,141
233541,42,111,150
233532,45,118,160
233521,47,126,170
233510,50,134,181
233498,53,143,193
233486,57,152,206
233473,60,162,219
233459,64,172,233
233444,67,183,248
233428,72,195,263
233411,76,207,280
