# S,I,R,Nw
415171,8,0,0
415170,8,1,1
415167,9,2,4
415165,9,4,6
415163,10,6,8
415160,11,7,11
415157,12,9,14
415155,12,12,16
415151,13,14,20
415148,14,16,23
415144,15,19,27
415140,17,21,31
415136,18,24,35
415132,19,28,39
415127,20,31,44
415122,22,35,49
415117,24,38,54
415111,25,43,60
415104,27,47,67
415098,29,52,73
415090,31,57,81
415083,33,62,88
415074,36,68,96
415066,38,74,105
415056,41,81,115
415046,44,88,125
415035,47,96,136
415024,51,104,147
415011,54,113,160
414998,58,123,173
414983,62,133,188
414968,67,144,203
414952,72,155,219
414934,77,168,237
414915,82,181,256
414895,88,195,276
414874,94,210,297
414851,101,227,320
414826,108,244,345
414800,116,263,371
414771,124,283,400
414741,133,305,430
414708,142,328,463
414674,153,352,497
