# S,I,R,Nw
264442,5,0,0
264441,5,0,1
264440,5,1,2
264439,5,2,3
264438,6,3,4
264436,6,4,6
264435,6,5,7
264433,7,7,9
264432,7,8,10
264430,7,9,12
264428,8,10,14
264427,8,12,15
264425,9,13,17
264423,9,15,19
264421,9,16,21
264418,10,18,23
264416,10,20,26
264414,11,22,28
264411,11,24,31
264409,12,26,33
264406,13,28,36
264403,13,30,39
264400,14,33,42
264397,15,35,45
264394,15,38,48
264390,16,40,52
264387,17,43,55
264383,18,46,59
264379,19,49,63
264375,20,52,67
264370,20,56,72
264366,21,59,76
264361,23,63,81
264356,24,67,86
264351,25,71,91
264345,26,75,97
264339,27,80,103
264333,29,85,109
264327,30,90,115
264320,31,95,122
264313,33,100,129
264306,35,106,136
264298,36,112,144
264290,38,118,152
264282,40,125,160
264273,42,132,169
