# S,I,R,Nw
186806,1,0,0
186806,1,0,0
186806,1,0,0
186806,1,0,0
186805,1,0,1
186805,1,1,1
186805,1,1,1
186804,1,1,2
186804,1,1,2
186803,2,2,3
186803,2,2,3
186802,2,2,4
186802,2,3,4
186801,2,3,5
186800,2,4,5
186800,2,4,6
186799,3,5,7
186798,3,5,8
186797,3,6,8
186797,3,7,9
186796,4,7,10
186795,4,8,11
186794,4,9,12
186792,5,9,13
186791,5,10,15
186790,5,11,16
186788,6,12,17
186787,6,13,19
186785,7,15,20
186784,7,16,22
186782,8,17,24
186780,8,18,26
186778,9,20,28
186776,9,22,30
186773,10,23,33
186771,11,25,35
186768,12,27,38
186765,12,29,41
186762,13,31,44
186759,14,34,47
186755,15,36,51
186751,16,39,55
186747,17,42,59
186743,19,45,63
186738,20,48,68
186733,21,52,73
186728,23,56,78
186722,25,60,84
186716,26,64,90
186710,28,69,96
186703,30,73,103
186696,32,79,110
186688,34,84,118
186679,37,90,127
186670,39,97,136
186661,42,104,145
186650,45,111,155
186639,48,119,166
186628,51,127,178
