# S,I,R,Nw
169937,4,0,0
169936,4,0,1
169935,5,1,2
169934,5,2,3
169932,5,3,4
169931,6,4,5
169930,6,5,7
169928,6,6,8
169927,7,7,10
169925,7,8,11
169923,7,10,13
169922,8,11,15
169920,8,12,17
169918,9,14,19
169916,9,16,21
169913,10,17,23
169911,10,19,25
169909,11,21,28
169906,12,23,30
169903,12,25,33
169900,13,27,36
169897,14,29,39
169894,15,32,42
169891,15,34,46
169887,16,37,49
169883,17,40,53
169879,18,43,57
169875,19,46,62
169870,20,50,66
169866,22,53,71
169860,23,57,76
169855,24,61,81
169850,26,65,87
169844,27,70,93
169837,29,75,99
169831,30,80,106
169824,32,85,113
169816,34,90,120
