# S,I,R,Nw
147644,5,0,0
147643,5,0,1
147642,6,1,2
147640,6,2,4
147638,6,4,5
147637,7,5,7
147635,8,6,9
147633,8,7,11
147631,9,9,13
147629,9,11,15
147626,10,12,18
147624,11,14,20
147621,12,16,23
147618,13,18,26
147615,13,20,29
147611,14,23,32
147608,15,25,36
147604,17,28,40
147600,18,31,44
147595,19,34,49
147590,21,38,53
147585,22,41,58
147580,24,45,64
147574,25,49,70
147568,27,54,76
147561,29,59,83
147554,31,64,90
147546,34,69,98
147537,36,75,106
147529,39,81,115
147519,41,88,125
147509,44,95,135
147498,48,103,146
147486,51,111,158
147474,55,120,170
147460,59,130,184
147446,63,140,198
147430,67,151,213
147414,72,163,230
147396,77,175,248
