# S,I,R,Nw
313419,1,0,0
313418,1,0,0
313418,2,0,1
313417,2,1,1
313416,2,1,2
313415,3,1,3
313414,3,2,4
313413,4,3,5
313412,4,3,6
313411,5,4,8
313409,5,5,9
313407,6,6,11
313405,7,7,13
313403,8,9,15
313400,9,10,18
313397,10,12,21
313394,12,14,24
313390,13,16,28
313386,15,18,32
313381,17,21,37
313376,20,24,43
313370,22,28,49
313363,25,32,56
313355,29,36,64
313346,32,41,73
313336,37,47,83
313324,42,54,94
313311,47,61,107
313296,53,70,122
313280,60,79,139
313261,68,90,157
313240,78,102,179
313216,88,116,203
313188,99,132,230
313157,113,150,261
313122,127,170,296
313083,144,192,335
313038,163,218,380
312988,185,247,431
312931,209,280,488
