# S,I,R,Nw
1337080,6,0,0
1337078,6,1,1
1337077,7,2,3
1337075,8,3,5
1337073,8,5,7
1337070,9,6,9
1337068,10,8,12
1337065,11,10,14
1337062,12,12,17
1337059,13,14,21
1337056,14,16,24
1337052,15,19,28
1337048,16,21,32
1337043,18,24,36
1337039,19,27,41
1337034,21,31,46
1337028,23,35,52
1337022,25,39,58
1337015,27,43,64
1337008,29,48,71
1337001,32,53,79
1336992,35,59,87
1336983,38,65,96
1336973,41,71,106
1336963,44,78,117
1336951,48,86,128
1336939,52,95,141
1336925,56,104,154
1336911,61,114,169
1336895,66,124,185
1336877,72,136,202
1336859,78,149,221
1336838,85,162,241
1336816,92,177,263
1336793,100,193,287
1336767,108,211,313
1336739,117,229,341
1336708,127,250,371
1336676,138,272,404
1336640,150,296,440
1336601,162,322,478
1336559,176,350,520
1336514,191,381,566
1336465,207,414,615
1336411,224,450,668
1336353,243,489,726
1336291,263,531,789
1336223,286,577,857
1336149,310,627,930
1336069,336,681,1010
1335983,364,739,1097
1335889,394,802,1191
1335787,428,871,1292
1335677,463,945,1403
