# S,I,R,Nw
226484,3,0,0
226483,3,0,0
226483,3,1,1
226482,4,1,2
226481,4,2,3
226479,4,3,4
226478,5,4,6
226477,5,5,7
226475,6,5,8
226474,6,7,10
226472,7,8,12
226470,7,9,13
226468,8,10,15
226466,9,12,18
226464,9,13,20
226461,10,15,22
226459,11,17,25
226456,12,19,28
226453,13,21,31
226449,14,23,35
226445,15,26,38
226441,17,29,42
226437,18,31,47
226432,20,35,52
226427,21,38,57
226422,23,42,62
226416,25,46,68
226409,27,50,75
226402,29,55,82
226394,32,60,89
226386,34,66,98
226377,37,72,107
226367,41,79,116
226357,44,86,127
226345,48,93,138
226333,52,102,151
226320,56,111,164
226305,61,121,178
226290,66,131,194
226273,71,143,211
226254,77,155,229
